我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
"　　你以为这些人是傻子啊,其实它们是税托举报|24楼|打赏|回复|评论(1)|赞容静容静：举报?2017-02-2808:33:38?评论他们是走狗，是雇佣兵我要评论"
　　支持收税的是一群没有脑子的人　　　　同理60年前支持分别人财产的人到后面还不是一无所有　　　　无论多空　　　　智商上有缺陷谁有救不了你　　　　记住商品的价格总是有供求关系决定的　　　　收房产税　　　　买房出租的人会减少　　　　供下降了　　　　房租不会涨吗？　　举报|25楼|打赏|回复|评论|赞
　　o(︶︿︶)o唉~什么都涨~涨~涨~　　就是工资不涨~！举报|26楼|打赏|回复|评论|赞
　　加任何税，我都反对！　　没一个税是好东西举报|27楼|打赏|回复|评论|赞
　　不知道这些跪求加税的脑残　　　　过几年会不会忏悔　　　　当然体制内的税托除外　　　　举报|28楼|打赏|回复|评论|赞
　　　　作者：海岛论剑　回复日期：2010-12-08　09:56:30　　　　　　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　　　1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　　　——————————————————————————————————　　　　中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。　　-----------------------------------------------------------------------------　　论贱我知道没人贱得过你，房产税最受伤的就是全体买不上房的金字塔底层，他们只能无可奈何地承受所有上层转嫁而来的成本，在没有解决保障住房的前提下开征房产税，是极其不负责任的、无耻的敛财行为！举报|29楼|打赏|回复|评论|赞
　　我说那些说什么起征点的才是妖言惑众　　现在具体政策都没出　　你们怎么知道会有免税面积？　　难道真是税托？　　　　这个税多半跟个人所得税一样　　开始收时说缩小贫富差距　　很快变成普税，全民征收，　　当然啦，如果你决定一辈子住桥底下想来影响不到你。　　官老爷挺开心的　　又能加一顿鱼翅餐，再安插几个小肥差给自己的亲友了举报|31楼|打赏|回复|评论|赞
　　大力支持！举报|32楼|打赏|回复|评论|赞
　　房产税一旦推开，不管是买房的还是租房的，负担增加无悬念（仅针对P民，不含李刚及其儿子），大家看看燃油税开征后的结果就知道。举报|33楼|打赏|回复|评论|赞
　　同意楼主观点，但没办法。举报|34楼|打赏|回复|评论|赞
　　楼主，你错了。收税怎么会没有赢家呢？　　不论政策怎么出，罚款也好，收税也好，涨价也好，限价也好，钱到谁口袋里谁就是赢家。只不过那收钱的口袋是破的，这边进那边出而已。举报|36楼|打赏|回复|评论|赞
　　真没有想到支持税收的笨蛋还真多啊！！怎么会有这么多愿意增加赋税的笨蛋啊！！　　任何一种形式的加税都是危险的，无论他有着什么样的前提，因为我们的税收是不透明的，钱收了，事儿没干或者没效果都很平常，加税真能让炒房的吐出嘴里的肥肉吗？？　　怎么可能啊，把房产税转嫁到房租里很平常啊，征税能征多少？200W的房子每年能征2W？不可能吧，这税率太变态了吧，那换个0.1%，就是每年2千，这个价格完全可以加到租金里啊，每月租金上涨不足200元，怎么可能起到作用。　　要想让肥肉被吐出来。就必须加大供给，房子多了，价钱自然平衡，政府大力建设保障房才是正途，让中低收入家庭有房住，谁唉炒炒去，和百姓无关。　　加税是国家实体经济下滑的表象，实体经济如果衰退了，多高的房价都是浮云。　　举报|37楼|打赏|回复|评论|赞
　　楼主明白人，有人还嫌税赋太少？！举报|38楼|打赏|回复|评论|赞
　　每次征税都是割P民的肉举报|39楼|打赏|回复|评论|赞
　　　　作者：BTV真2B　回复日期：2010-12-08　10:45:36　　　　　　　真没有想到支持税收的笨蛋还真多啊！！怎么会有这么多愿意增加赋税的笨蛋啊！！　　　　任何一种形式的加税都是危险的，无论他有着什么样的前提，因为我们的税收是不透明的，钱收了，事儿没干或者没效果都很平常，加税真能让炒房的吐出嘴里的肥肉吗？？　　　　怎么可能啊，把房产税转嫁到房租里很平常啊，征税能征多少？200W的房子每年能征2W？不可能吧，这税率太变态了吧，那换个0.1%，就是每年2千，这个价格完全可以加到租金里啊，每月租金上涨不足200元，怎么可能起到作用。　　　　要想让肥肉被吐出来。就必须加大供给，房子多了，价钱自然平衡，政府大力建设保障房才是正途，让中低收入家庭有房住，谁唉炒炒去，和百姓无关。　　　　加税是国家实体经济下滑的表象，实体经济如果衰退了，多高的房价都是浮云。　　----------------------------------------------------------------------------　　顶你举报|41楼|打赏|回复|评论|赞
　　LZ怎么会SB成这样呢，怎么会所有的人都是输家呢？　　　　税收多了对谁有好处你自己屁股想不明白吗？举报|42楼|打赏|回复|评论|赞
　　活着的成本越来越高了举报|43楼|打赏|回复|评论|赞
　　教育“税托”，只能是白费口舌。　　　　看电视里面，任大炮在与叶檀辩论中，介绍到了盖保障房的问题。　　看完之后，感觉真是非常的恐怖。　　　　北京长阳，政府卖地，14800元/平米。　　　　在这块地里面，开发商要为政府建设保障房，　　政府用8500元/平米回购（应该是再转卖给那些受保障户（拆迁户？）吧）。　　8500元/平米的保障房，是由谁来出售呢？谁来收这笔房款钱呢？　　　　KFS花在保障房的买土地上面的钱，被政府拿走了6300元/平米。　　KFS花在商品房的买土地上面的钱，开发商被政府拿走了14800元/平米。　　开发商还要自己花钱，购买建筑材料，来为政府盖这个保障房。　　实际上，KFS会把这6300元/平米的土地钱，　　另外再加上1000元-2000元？/平米建筑材料钱，施工费用等等，　　　　全部都转嫁到商品房的房价上面去，转嫁到商品房的购房者身上。　　　　这叫做“二次转移纳税”。　　　　商品房的购房者，在高额的商品房房价上面，　　为了国家和社会的稳定，为了低收入群体，为了保障房建设，　　做出了自己巨大的贡献。　　为保障房买土地的钱，买单，　　为保障房买建筑材料的钱，施工钱，买单。　　为商品房买土地的钱，买单。　　为商品房建筑材料的钱，施工费，买单。　　保障房的购买者，也要花8500元/平米购买保障房。　　　　可怜啊。　　　　任大炮讲话，“这些都要由消费者来背”。举报|44楼|打赏|回复|评论|赞
　　LZ与大家不要讨论这个问题，不管那些人怎么说，我们就是不与他玩，等他们自己去玩好了。举报|45楼|打赏|回复|评论|赞
　　作者：526889976　回复日期：2010-12-08　10:19:19　　　　　　　房观多空恩仇录　　　　　　　　多年来，在房观多空双方争斗中，空方一直有个核武器，物业税，房产税，一直用来吓唬多方，从房观开始的04年一直到2010年，不过空方这个核武器威力越来越小了，现在，空方除了最傻最傻的极少数，大部分空方现在自己都怕房产税了。　　　　　　　　其实，一直认为，受房产税影响最大的是空方，不是多方。当然，加税对多空双方都不是好事。　　　　　　　　有个比喻，用一个成语来，叫鹤蚌相争，渔翁得利。　　　　　　　　多军是鹤，空军是蚌，物业税的是渔翁，现实社会中，空方蚌处于弱势，多军鹤在吃蚌，空方蚌却希望渔翁来赶走多军这个鹤，结果，渔翁来了，鹤可能飞走了，鹤暂时虽然没得到什么便宜，但是，空方这个蚌却损失更大了。　　　　　　　　不过在空方早些年一直希望渔翁早点来的时候，渔翁却没有来，现在鹤翅膀硬了，会飞了，渔翁却快要来了。空方这个蚌一定会搬起石头砸到自己的脚的。　　举报|46楼|打赏|回复|评论|赞
　　那些支持加税的基本就是希望看到比他富裕的人破财而已，如果他们是要求这些税政府用于廉价房建设那说明民众多少有点进步，可惜没有，政府没说收的税干嘛用，只说为了控制房价，也就是为收税而收税，一般民众也没见有要求，悲哀啊，等着吧，再开些奥运世博之类的估计空气税也不远了，可能会叫碳排放减持税，也许会有免征额，30升/天。举报|47楼|打赏|回复|评论|赞
　　其实收拾这些炒房的投机分子很简单：　　1、禁止购买第二套房；　　2、已有第二套及以上的，收房产税，税率每年递增5%，每多一套房，税率递增50%；　　3、出租时需经租赁所登记，租金通过第三方监管，建立房屋年审制度，未登记私自出租的收取房价20%的罚款，并取消出租资格3年；　　4、出售房屋时，收所得税，税率每年递增10%，签阴阳合同的，以金融诈骗罪收监。　　　　可保5年以后，房价减半，10年以后80%的人买的起房。举报|48楼|打赏|回复|评论|赞
　　管球的，租不起单套就合租，合租不起就群租，群组不起就在公司楼顶搭帐篷，实在不行就回老家登三轮。如果这都还不行，那就别怪老子心狠手辣到处借钱过生活了。举报|49楼|打赏|回复|评论|赞
　　当然对体制内的李刚们有好处来自天涯社区客户端|举报|50楼|打赏|回复|评论|赞
　　房产税应该征，但问题是税征了以后会不会用在纳税人身上。举报|51楼|打赏|回复|评论|赞
　　楼主分析的特别对，可还是有很多类似海岛这样的人，总幻想着那个免税面积，就象当初个人所得税征收时幻想自己的收入永远在800元以下时一样短视。　　　　第一、免税面积不可能很高，也就是一个基本生活需要的标准。这个标准距离改善生活还有一定距离。你不要现在就下结论说永远都不会超过免税面积，也永远不会面临生活改善，即使你自己没有志气也没有能力，也不要为你未来儿女改善生活设置障碍。　　　　第二、社会进步、收入提高的速度会超过你的想象，因此要用发展的眼光来看待问题。人之所以异于动物，就在于具备发展的眼光。猪为什么每天吃喝快乐，因为它认为只有养肥了的才会被杀，其实它不知道终究有一天自己也会变肥变胖，成为被屠宰的一份子。　　　　第三、房产税一旦推出，解释权将交给政府灵活掌握，作为财产税的一种，将可能采用免税面积和免税金额并行的方式。你现在的小房子尽管符合免税面积，可是随着房价上涨也终有一天会超过免税金额的价值，到时候你再到网上呼喊要国家提高免征金额时，国家才不会象推出房产税一样这么积极地“听取民意”。　　　　第四、出租的房子多数都属于免税面积以外的房产，开征房产税第一个受害的就是租房的人，本来还可以凑够首付的钱又要划出一块替房东付税了。举报|52楼|打赏|回复|评论|赞
　　最好的办法是0地价出让土地。0税费。举报|53楼|打赏|回复|评论|赞
　　作者：BTV真2B　回复日期：2010-12-08　10:45:36　　　　　要想让肥肉被吐出来。就必须加大供给，房子多了，价钱自然平衡，政府大力建设保障房才是正途，让中低收入家庭有房住，谁唉炒炒去，和百姓无关。　　-----------------------------　　在现行体制下，就是把全中国的土地都变成住宅，也还是没用！住宅在中国已经不是生活必需品，而是艺术品，因此只有增加持有环节的成本，增加交易的时间量来控制才行！——购入的第二套住宅十年内不得上市交易、购入的第二套住宅每年必须缴纳税费，如此政策下，你说中国的住宅还会成为艺术品吗？！举报|54楼|打赏|回复|评论|赞
　　谁说大家都输，政府会有一个稳定的税源举报|56楼|打赏|回复|评论|赞
　　平抑房价有千万种方式，为什么要采用加税这个错误的做法呢？　　　　没有房子的老百姓被政府利用了、忽悠了，被卖了还在帮助政府数钱！房产税既提高了房租的水平，又为将来改善居住条件设置了障碍，这种恶谁也只有没有头脑的人才会举双手拥护。　　　　我尽管有房子，但我支持国家对房地产的调控，也不希望房价继续涨，因为我还想继续改善自己的生活，便宜地换更好的房子。但国家采用加税的方式进行调控，是属于揣着明白装糊涂，更是房价调控方向上的南辕北辙。举报|57楼|打赏|回复|评论|赞
　　别的不想多说，前车之鉴大家可以看一看，当初收个人所得税的时候，大家觉得起征点800元很高，和自己没什么关系，结果是多年后大家骂得最多的就是这800元的起征点，现在虽然改到2000元了，可是就拿北京来说，统计告诉我们2009年北京城镇职工的平均工资大概每月4000元，看来个人所得税全覆盖了，不过我看到很多有钱人可以通过各种手段来避税，只有拿工资的才会被迫得去拿已经提前扣掉税的工资了。　　　　举报|58楼|打赏|回复|评论|赞
　　中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。举报|60楼|打赏|回复|评论|赞
　　房产税出台的目的是什么？抑制房价。　　房产税能抑制房价吗？为什么能？　　如果实施了，实际效果不能抑制房价，那这个税能取消吗？　　　　再问一个问题，房价飙升的根本原因是什么？如果这都搞不清楚，那房产税什么的就是扯淡。国家第二轮宏观调控房价的措施出台多久了？房价降下来了吗？　　还是先搞清楚根本问题再说。举报|61楼|打赏|回复|评论|赞
　　当年农民支持斗地主打土豪分田地，最后还不是没得到土地，都是国家的！只不过贫下中农最多是以前过得很辛苦，之后还是过得很辛苦而已；地主土豪呢？被和谐了，而且比贫下中农还惨。　　总结一句话：空军任何时代都是过得很辛苦，但多军如果不跟着D走，会飞灰湮灭。举报|62楼|打赏|回复|评论|赞
　　中国ZF除了税，没有别的。开公司赔钱，搞垄断赚了又给贪了举报|63楼|打赏|回复|评论|赞
　　支持大幅增加持有第二套房的成本，对通过阴阳合同转嫁成本给租赁方和购买方的，大幅增加刑事和民事处罚力度，大力奖励举报人。让我们每个家庭拥有一套自住房之后，就远离这个肮脏的炒房游戏，自己生活的简单一点，也让别人生活容易一点。举报|64楼|打赏|回复|评论|赞
"　　现在还有人在当空军?　　　　有房的和没房又不是阶级对立关系　　　　政府的乾坤大挪移确实厉害,自己的失责,确实这责任转嫁给开发商和有房人士...可笑举报|65楼|打赏|回复|评论|赞"
　　哎！！！！哎！！！举报|66楼|打赏|回复|评论|赞
　　ZF无能举报|67楼|打赏|回复|评论|赞
"　　楼主很肤浅,也很天真,但很敢说举报|68楼|打赏|回复|评论|赞"
　　　　作者：shaoliang000111　回复日期：2010-12-08　11:19:30　　　　　　　楼主傻逼，鉴定完毕。房产税可以为控房价而生，难道就不会因房价而灭吗？　　　　　　可是个税到现在也只是调整了起征点而已啊……　　有钱收，谁会不收呢　　举报|69楼|打赏|回复|评论|赞
"　　我只知道,所有的房产税都是卖家转给买家了,房价一直上涨,只能无奈承受举报|71楼|打赏|回复|评论|赞"
　　哎哎！！！举报|72楼|打赏|回复|评论|赞
　　人均30平米　　　　我tmd两口子没小孩房子68平也交税的话　　　　就郁闷了举报|73楼|打赏|回复|评论|赞
　　房价飙升的主要原因还是炒房团。　　　　没有炒房团，开发商不会看到暴利，不会把房价定得那么高，政府拍卖土地时，也不会有脑袋进水的开发商抢着抬到天价去买了。　　　　房产税在一定程度上还是可以遏制炒房团的壮大。　　　　我见过一炒房者，因认识不少官员，拿他们的钱去炒房，资金雄厚，开盘时恨不得将楼盘整栋买下，再抬高价卖出。炒房两年他个人身家近亿。　　举报|74楼|打赏|回复|评论|赞
　　回想80年代开征个人所得税时，也是说起征点才800，是用来调节贫富差距的，与大多数人无关　　现在呢？知道什么是人头税了吧？　　　　　　哈哈，居然还有支持收税的，不是脑残就是别有用心！举报|75楼|打赏|回复|评论|赞
　　作者：放飞各人　回复日期：2010-12-08　11:39:04　　　　　　　人均30平米　　　　　　　　我tmd两口子没小孩房子68平也交税的话　　　　　　　　就郁闷了　　　　=============================================================================　　　　所以你就多生几个孩子，还有人提议全民征收房产税，然后再按照人口返还呢，要是那样到时候你不是就发了吗。　　　　　　　　举报|76楼|打赏|回复|评论|赞
　　作者：海岛论剑　回复日期：2010-12-08　09:56:30　　　　　　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　　　1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　　　——————————————————————————————————　　　　中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。　　　　只要这个税一出，到时候由得了你吗？想想油价刚开始上涨的时候，政府对一些群体进行补贴，试问：所有的低收入者，都补贴了吗？这些补贴的人，现在还在领补跌吗？无非是当时为了缓和一下矛盾而已。举报|77楼|打赏|回复|评论|赞
　　当了奴隶不要紧，千万不要以为自己是主子，奴隶们用主子的思维和观念去看待社会，参与社会，下场就是很悲惨。人贵在有自知之明。举报|79楼|打赏|回复|评论|赞
　　作者：兔兔的哨牙　回复日期：2010-12-08　11:44:04　　　　　　　房价飙升的主要原因还是炒房团。　　=============================================================================　　　　你是看CCTV长大的吧，全国房价都在涨，难道全国到处都是炒房团？要是炒房团这么多并且组织这么严密，能够同时共同炒高全国房价，那么轮子也是望尘莫及的了，那中央要打击肯定是对的了。　　　　　　举报|80楼|打赏|回复|评论|赞
　　其实房子建设的真不少了，我起码看出我们这个县级市的房屋足够满足人们的需求，可是为什恶魔患有那么多需要房子的人买不到房子？为什么房价依然坚挺上涨？就是因为每当新的楼盘开盘时候有钱人、权贵们在继续抢购着楼房，占据着、控制着这些资源，贫民们继续买不到房子，上涨到一定程度，他们就出手，价格就自然上涨了。所以坚决打击多占房子是关键。举报|81楼|打赏|回复|评论|赞
　　楼主就是脑残、垃圾、大SB！！　　你懂个屁，你看看发达国家的模式，坐井观天！举报|82楼|打赏|回复|评论|赞
　　房产税有免税面积的话，那单身的朋友要买房买多大的呢？不要否认有单身的人可能是自己一个户头的。。。　　按人均面积在结婚之前买房看来是不合适了，一个人住个好不容易贷款买的房，除了还贷还要缴税，可是等过几年结婚之后买房，房价又不知道怎样了。　　　　没买房的期盼房产税来，以为房价会下来，可是你买了房子之后房产税又会压的你抬不起头来，你买得起估计会住不起，再说了，你买房子就为了住吗？如果房子不保值，你肯定也不高兴吧。。。。。　　　　总之房产税绝对是加重老百姓负担而无任何意义，不信拭目以待！！！！　　　　　　中国老百姓自古以来房子是最大的家产，在农村即便没钱的，也是积攒几年的钱要么翻新一下老房子要么就是重新盖新的，儿女结婚，都是看谁家盖的房子好。。。。。　　　　所以，长期来说，房子必须是保值增值的，如果房子不能保值增值反而是因为各种税费搞的最后是一次性付了高房租住了70年，估计就没人买房子了。都去住廉租房或者经济适用房好了，房价肯定就下来了。。。。。　　　　可是为什么都不去住廉租房或者经适房？？？。。。。因为没那么多廉租房！！！并且商品房的保值功能反过来刺激了商品房的需求！！　　　　买房的和不买房的都不要骂对方，有那个能力就买没那个能力就租，关键是不影响自己的生活水平前提下，让自己的财富增值！！　　　　说到底，一切都是市场决定的，所以不要寄望于房产税会让房子降价。　　　　如果降房价唯一的方式就是：　　多建设廉租房（经适房和限价商品房不推荐，要么换成不同档次的廉租房）　　　　而且廉租房的土地到期后或者房子破旧的不能住的话，根据政府需要，进行改建或重建，原来的廉租房住户没有补贴，还是在新的廉租房继续住。。。　　　　廉租房的好处是可以给目前没有能力的贫困百姓一个安稳的居住地，不同收入档次的人，根据自己的收入或需要租档次不同的廉租房，甚至租有房人的多余商品房。　　在没有太大居住压力的情况下，可以让他们用目前的收入好好投资生意或者培育下一代，用其他方式增加自己的财富，改变自己住廉租房的情况。　　　　商品房，谁有钱就让谁买去，土地使用到期后，无论是改造还是重新规划，按当时水平补贴购房人。这才是最公平的，也起到投资人投资房产后的保值增值功能。　　　　那么商品房价肯定会飞速上涨，商品房就会成为一个奢侈品！！！！　　但是如果廉租房大量建设，成为主流的话，没有那么多人急着买房子，商品房的价格也不会高的离谱，因为商品房迟早是要脱手的或者是要留给下一代的财产的，留给下一代的话，又相应的减少了一部分下一代的购房需求。　　　　而商品房住户如果接手的人少，要转手卖掉房子，那么他也会考虑接盘的人的购买能力，那就是要考虑廉租房中有钱人的购买能力，所以房价高不上去。　　　　把商品房打造成黄金珠宝，但是廉租房要遍地开花！！！　　不要奢望人人都能用LV，但是人人都要有个小包。。。。。　　　　表达不好，不知道是不是有人可以明白我的意思。　　如有不同观点，请礼貌回帖，如果带脏字的，那是你自己早饭吃的不好。。。举报|83楼|打赏|回复|评论|赞
　　我猜LZ的房子不止一套举报|84楼|打赏|回复|评论|赞
　　3举报|85楼|打赏|回复|评论|赞
　　　　作者：badnamelove　回复日期：2010-12-08　11:23:26　　　　　　　房产税出台的目的是什么？抑制房价。　　　　房产税能抑制房价吗？为什么能？　　　　如果实施了，实际效果不能抑制房价，那这个税能取消吗？　　　　　　　　再问一个问题，房价飙升的根本原因是什么？如果这都搞不清楚，那房产税什么的就是扯淡。国家第二轮宏观调控房价的措施出台多久了？房价降下来了吗？　　　　还是先搞清楚根本问题再说。　　　　其实政府从来就没有说过房产税出台的目的是为了抑制房价，只是说房产税可以成为地方政府稳定的财政收入来源。政府卖地财政不稳定，也不长久，可是房产税不同，稳定增长而且想多长时间就多长时间，70年后，其实一样可以征。把房产税的目的想清楚了，估计老百姓就没有多少人那么热盼房产税了。　　要真正抑制炒房炒地，方法多的是，就看政府是不是真想调控房价了。举报|86楼|打赏|回复|评论|赞
　　我关心的是收来的税用在什么地方//建廉租房？补贴低收入者？给政府工作人员发奖金？贪污掉？。。。。。。。举报|87楼|打赏|回复|评论|赞
　　税托好多啊哈哈举报|88楼|打赏|回复|评论|赞
